date,season,year,month,holiday,weekday,weather,temp,atemp,hum,windspeed,casual_users,registered_users,total_rentals
2011-01-01,Spring,2011,Jan,0,Saturday,Misty,0.344167,0.363625,805833.0000000001,0.160446,331,654,985
2011-01-02,Spring,2011,Jan,0,Sunday,Misty,0.363478,0.353739,696087.0,0.248539,131,670,801
2011-01-03,Spring,2011,Jan,0,Monday,Clear,0.196364,0.189405,437272.99999999994,0.248309,120,1229,1349
2011-01-04,Spring,2011,Jan,0,Tuesday,Clear,0.2,0.212122,590435.0,0.160296,108,1454,1562
2011-01-05,Spring,2011,Jan,0,Wednesday,Clear,0.226957,0.22927,436957.0,0.1869,82,1518,1600
2011-01-06,Spring,2011,Jan,0,Thursday,Clear,0.204348,0.233209,518260.99999999994,0.0895652,88,1518,1606
2011-01-07,Spring,2011,Jan,0,Friday,Misty,0.196522,0.208839,498696.0,0.168726,148,1362,1510
2011-01-08,Spring,2011,Jan,0,Saturday,Misty,0.165,0.162254,535833.0,0.266804,68,891,959
2011-01-09,Spring,2011,Jan,0,Sunday,Clear,0.138333,0.116175,434167.0000000001,0.36195,54,768,822
2011-01-10,Spring,2011,Jan,0,Monday,Clear,0.150833,0.150888,482917.0,0.223267,41,1280,1321
2011-01-11,Spring,2011,Jan,0,Tuesday,Misty,0.169091,0.191464,686364.0,0.122132,43,1220,1263
2011-01-12,Spring,2011,Jan,0,Wednesday,Clear,0.172727,0.160473,599545.0,0.304627,25,1137,1162
2011-01-13,Spring,2011,Jan,0,Thursday,Clear,0.165,0.150883,470417.0,0.301,38,1368,1406
2011-01-14,Spring,2011,Jan,0,Friday,Clear,0.16087,0.188413,537826.0,0.126548,54,1367,1421
2011-01-15,Spring,2011,Jan,0,Saturday,Misty,0.233333,0.248112,498750.0,0.157963,222,1026,1248
2011-01-16,Spring,2011,Jan,0,Sunday,Clear,0.231667,0.234217,483750.0,0.188433,251,953,1204
2011-01-17,Spring,2011,Jan,1,Monday,Misty,0.175833,0.176771,537500.0,0.194017,117,883,1000
2011-01-18,Spring,2011,Jan,0,Tuesday,Misty,0.216667,0.232333,861666.9999999998,0.146775,9,674,683
2011-01-19,Spring,2011,Jan,0,Wednesday,Misty,0.292174,0.298422,741739.0,0.208317,78,1572,1650
2011-01-20,Spring,2011,Jan,0,Thursday,Misty,0.261667,0.25505,538332.9999999999,0.195904,83,1844,1927
2011-01-21,Spring,2011,Jan,0,Friday,Clear,0.1775,0.157833,457083.0,0.353242,75,1468,1543
2011-01-22,Spring,2011,Jan,0,Saturday,Clear,0.0591304,0.0790696,400000.0,0.17197,93,888,981
2011-01-23,Spring,2011,Jan,0,Sunday,Clear,0.0965217,0.0988391,436522.0,0.2466,150,836,986
2011-01-24,Spring,2011,Jan,0,Monday,Clear,0.0973913,0.11793,491738.99999999994,0.15833,86,1330,1416
2011-01-25,Spring,2011,Jan,0,Tuesday,Misty,0.223478,0.234526,616957.0,0.129796,186,1799,1985
2011-01-26,Spring,2011,Jan,0,Wednesday,Light_rainsnow,0.2175,0.2036,862500.0,0.29385,34,472,506
2011-01-27,Spring,2011,Jan,0,Thursday,Clear,0.195,0.2197,687500.0,0.113837,15,416,431
2011-01-28,Spring,2011,Jan,0,Friday,Misty,0.203478,0.223317,793043.0000000001,0.1233,38,1129,1167
2011-01-29,Spring,2011,Jan,0,Saturday,Clear,0.196522,0.212126,651738.9999999999,0.145365,123,975,1098
2011-01-30,Spring,2011,Jan,0,Sunday,Clear,0.216522,0.250322,722174.0,0.0739826,140,956,1096
2011-01-31,Spring,2011,Jan,0,Monday,Misty,0.180833,0.18625,603750.0,0.187192,42,1459,1501
2011-02-01,Spring,2011,Feb,0,Tuesday,Misty,0.192174,0.23453,829565.0000000001,0.053213,47,1313,1360
2011-02-02,Spring,2011,Feb,0,Wednesday,Misty,0.26,0.254417,775417.0000000001,0.264308,72,1454,1526
2011-02-03,Spring,2011,Feb,0,Thursday,Clear,0.186957,0.177878,437826.0,0.277752,61,1489,1550
2011-02-04,Spring,2011,Feb,0,Friday,Misty,0.211304,0.228587,585216.9999999999,0.127839,88,1620,1708
2011-02-05,Spring,2011,Feb,0,Saturday,Misty,0.233333,0.243058,929166.9999999998,0.161079,100,905,1005
2011-02-06,Spring,2011,Feb,0,Sunday,Clear,0.285833,0.291671,568332.9999999999,0.1418,354,1269,1623
2011-02-07,Spring,2011,Feb,0,Monday,Clear,0.271667,0.303658,738333.0000000001,0.0454083,120,1592,1712
2011-02-08,Spring,2011,Feb,0,Tuesday,Clear,0.220833,0.198246,537917.0,0.36195,64,1466,1530
2011-02-09,Spring,2011,Feb,0,Wednesday,Misty,0.134783,0.144283,494783.0,0.188839,53,1552,1605
2011-02-10,Spring,2011,Feb,0,Thursday,Clear,0.144348,0.149548,437391.0,0.221935,47,1491,1538
2011-02-11,Spring,2011,Feb,0,Friday,Clear,0.189091,0.213509,506364.00000000006,0.10855,149,1597,1746
2011-02-12,Spring,2011,Feb,0,Saturday,Clear,0.2225,0.232954,544167.0,0.203367,288,1184,1472
2011-02-13,Spring,2011,Feb,0,Sunday,Clear,0.316522,0.324113,457391.0,0.260883,397,1192,1589
2011-02-14,Spring,2011,Feb,0,Monday,Clear,0.415,0.39835,375832.99999999994,0.417908,208,1705,1913
2011-02-15,Spring,2011,Feb,0,Tuesday,Clear,0.266087,0.254274,314348.00000000006,0.291374,140,1675,1815
2011-02-16,Spring,2011,Feb,0,Wednesday,Clear,0.318261,0.3162,423478.0,0.251791,218,1897,2115
2011-02-17,Spring,2011,Feb,0,Thursday,Clear,0.435833,0.428658,505000.0,0.230104,259,2216,2475
2011-02-18,Spring,2011,Feb,0,Friday,Clear,0.521667,0.511983,516667.0,0.264925,579,2348,2927
2011-02-19,Spring,2011,Feb,0,Saturday,Clear,0.399167,0.391404,187916.99999999997,0.507463,532,1103,1635
2011-02-20,Spring,2011,Feb,0,Sunday,Clear,0.285217,0.27733,407826.0,0.223235,639,1173,1812
2011-02-21,Spring,2011,Feb,1,Monday,Misty,0.303333,0.284075,605000.0,0.307846,195,912,1107
2011-02-22,Spring,2011,Feb,0,Tuesday,Clear,0.182222,0.186033,577778.0,0.195683,74,1376,1450
2011-02-23,Spring,2011,Feb,0,Wednesday,Clear,0.221739,0.245717,423042.99999999994,0.094113,139,1778,1917
2011-02-24,Spring,2011,Feb,0,Thursday,Misty,0.295652,0.289191,697390.9999999999,0.250496,100,1707,1807
2011-02-25,Spring,2011,Feb,0,Friday,Misty,0.364348,0.350461,712174.0,0.346539,120,1341,1461
2011-02-26,Spring,2011,Feb,0,Saturday,Clear,0.2825,0.282192,537917.0,0.186571,424,1545,1969
2011-02-27,Spring,2011,Feb,0,Sunday,Clear,0.343478,0.351109,680000.0,0.125248,694,1708,2402
2011-02-28,Spring,2011,Feb,0,Monday,Misty,0.407273,0.400118,876364.0000000001,0.289686,81,1365,1446
2011-03-01,Spring,2011,Mar,0,Tuesday,Clear,0.266667,0.263879,535000.0,0.216425,137,1714,1851
2011-03-02,Spring,2011,Mar,0,Wednesday,Clear,0.335,0.320071,449583.0,0.307833,231,1903,2134
2011-03-03,Spring,2011,Mar,0,Thursday,Clear,0.198333,0.200133,318333.0,0.225754,123,1562,1685
2011-03-04,Spring,2011,Mar,0,Friday,Misty,0.261667,0.255679,610417.0,0.203346,214,1730,1944
2011-03-05,Spring,2011,Mar,0,Saturday,Misty,0.384167,0.378779,789166.9999999999,0.251871,640,1437,2077
2011-03-06,Spring,2011,Mar,0,Sunday,Misty,0.376522,0.366252,948261.0,0.343287,114,491,605
2011-03-07,Spring,2011,Mar,0,Monday,Clear,0.261739,0.238461,551304.0,0.341352,244,1628,1872
2011-03-08,Spring,2011,Mar,0,Tuesday,Clear,0.2925,0.3024,420833.0,0.12065,316,1817,2133
2011-03-09,Spring,2011,Mar,0,Wednesday,Misty,0.295833,0.286608,775417.0000000001,0.22015,191,1700,1891
2011-03-10,Spring,2011,Mar,0,Thursday,Light_rainsnow,0.389091,0.385668,0.0,0.261877,46,577,623
2011-03-11,Spring,2011,Mar,0,Friday,Misty,0.316522,0.305,649564.9999999999,0.23297,247,1730,1977
2011-03-12,Spring,2011,Mar,0,Saturday,Clear,0.329167,0.32575,594582.9999999999,0.220775,724,1408,2132
2011-03-13,Spring,2011,Mar,0,Sunday,Clear,0.384348,0.380091,527391.0000000001,0.270604,982,1435,2417
2011-03-14,Spring,2011,Mar,0,Monday,Clear,0.325217,0.332,496957.0,0.136926,359,1687,2046
2011-03-15,Spring,2011,Mar,0,Tuesday,Misty,0.317391,0.318178,655652.0,0.184309,289,1767,2056
2011-03-16,Spring,2011,Mar,0,Wednesday,Misty,0.365217,0.36693,776522.0000000001,0.203117,321,1871,2192
2011-03-17,Spring,2011,Mar,0,Thursday,Clear,0.415,0.410333,602917.0000000001,0.209579,424,2320,2744
2011-03-18,Spring,2011,Mar,0,Friday,Clear,0.54,0.527009,525217.0,0.231017,884,2355,3239
2011-03-19,Spring,2011,Mar,0,Saturday,Clear,0.4725,0.466525,379167.0,0.368167,1424,1693,3117
2011-03-20,Spring,2011,Mar,0,Sunday,Clear,0.3325,0.32575,473750.0,0.207721,1047,1424,2471
2011-03-21,Summer,2011,Mar,0,Monday,Misty,0.430435,0.409735,737391.0000000001,0.288783,401,1676,2077
2011-03-22,Summer,2011,Mar,0,Tuesday,Clear,0.441667,0.440642,624583.0,0.22575,460,2243,2703
2011-03-23,Summer,2011,Mar,0,Wednesday,Misty,0.346957,0.337939,839565.0000000001,0.234261,203,1918,2121
2011-03-24,Summer,2011,Mar,0,Thursday,Misty,0.285,0.270833,805833.0000000001,0.243787,166,1699,1865
2011-03-25,Summer,2011,Mar,0,Friday,Clear,0.264167,0.256312,495000.0,0.230725,300,1910,2210
2011-03-26,Summer,2011,Mar,0,Saturday,Clear,0.265833,0.257571,394167.0,0.209571,981,1515,2496
2011-03-27,Summer,2011,Mar,0,Sunday,Misty,0.253043,0.250339,493913.0,0.1843,472,1221,1693
2011-03-28,Summer,2011,Mar,0,Monday,Clear,0.264348,0.257574,302174.0,0.212204,222,1806,2028
2011-03-29,Summer,2011,Mar,0,Tuesday,Clear,0.3025,0.292908,314167.0,0.226996,317,2108,2425
2011-03-30,Summer,2011,Mar,0,Wednesday,Misty,0.3,0.29735,646667.0000000001,0.172888,168,1368,1536
2011-03-31,Summer,2011,Mar,0,Thursday,Light_rainsnow,0.268333,0.257575,918333.0,0.217646,179,1506,1685
2011-04-01,Summer,2011,Apr,0,Friday,Misty,0.3,0.283454,686250.0,0.258708,307,1920,2227
2011-04-02,Summer,2011,Apr,0,Saturday,Misty,0.315,0.315637,653750.0,0.197146,898,1354,2252
2011-04-03,Summer,2011,Apr,0,Sunday,Clear,0.378333,0.378767,480000.0,0.182213,1651,1598,3249
2011-04-04,Summer,2011,Apr,0,Monday,Clear,0.573333,0.542929,426250.0,0.385571,734,2381,3115
2011-04-05,Summer,2011,Apr,0,Tuesday,Misty,0.414167,0.39835,642082.9999999999,0.388067,167,1628,1795
